industry,kind_of_business,month,avg_sales,lowest_sales,highest_sales
General Merchandise,Other general merchandise stores,December,56343.77,45126.0,71897.0
General Merchandise,Other general merchandise stores,February,39519.08,31937.0,47592.0
General Merchandise,Other general merchandise stores,January,40023.62,31555.0,52085.0
General Merchandise,Other general merchandise stores,July,44788.85,34661.0,58657.0
General Merchandise,Other general merchandise stores,June,44602.85,34016.0,58504.0
General Merchandise,Other general merchandise stores,March,45012.46,34010.0,57955.0
General Merchandise,Other general merchandise stores,May,45811.77,35552.0,57756.0
General Merchandise,Other general merchandise stores,November,48810.08,37171.0,63767.0
General Merchandise,Other general merchandise stores,October,45237.69,34649.0,59780.0
General Merchandise,Other general merchandise stores,September,42324.69,32156.0,56057.0
Health & Personal Care,Health and personal care stores,April,25857.15,21471.0,32435.0
Health & Personal Care,Health and personal care stores,August,26801.85,21601.0,33985.0
Health & Personal Care,Health and personal care stores,December,30162.46,24945.0,37423.0
Health & Personal Care,Health and personal care stores,February,24668.15,20118.0,29947.0
Health & Personal Care,Health and personal care stores,January,25874.62,20721.0,32224.0
Health & Personal Care,Health and personal care stores,July,26136.38,21342.0,32430.0
Health & Personal Care,Health and personal care stores,June,26199.92,21466.0,33459.0
Health & Personal Care,Health and personal care stores,March,27284.46,22474.0,33648.0
Health & Personal Care,Health and personal care stores,May,26478.92,21335.0,32952.0
Health & Personal Care,Health and personal care stores,November,26437.0,21869.0,33665.0
Health & Personal Care,Health and personal care stores,October,27112.23,21796.0,34038.0
Health & Personal Care,Health and personal care stores,September,26143.38,21297.0,33491.0
Health & Personal Care,Pharmacies and drug stores,April,21864.31,18340.0,26772.0
Health & Personal Care,Pharmacies and drug stores,August,22310.62,18328.0,27872.0
Health & Personal Care,Pharmacies and drug stores,December,24497.69,20632.0,30120.0
Health & Personal Care,Pharmacies and drug stores,February,20653.62,17171.0,24847.0
Health & Personal Care,Pharmacies and drug stores,January,21968.0,17874.0,27297.0
Health & Personal Care,Pharmacies and drug stores,July,21906.31,18170.0,26913.0
Health & Personal Care,Pharmacies and drug stores,June,21869.15,18372.0,27520.0
Health & Personal Care,Pharmacies and drug stores,March,22743.62,19214.0,27661.0
Health & Personal Care,Pharmacies and drug stores,May,22310.08,18295.0,27158.0
Health & Personal Care,Pharmacies and drug stores,November,21969.69,18700.0,27503.0
Health & Personal Care,Pharmacies and drug stores,October,22863.85,18611.0,28294.0
Health & Personal Care,Pharmacies and drug stores,September,21777.31,17847.0,27501.0
Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,April,32622.23,24378.0,46533.0
Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,August,30313.23,21698.0,45165.0
Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,December,27317.54,20277.0,38763.0
Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,February,22196.69,15469.0,33529.0
Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,January,22667.0,15348.0,33771.0
Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,July,31255.77,23100.0,43487.0
Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,June,33612.15,25451.0,48211.0
Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,March,29122.77,21691.0,44478.0
Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,May,35771.85,26238.0,50099.0
Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,November,28664.46,21462.0,40441.0
Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,October,30209.31,21883.0,43024.0
Home Goods & Building Supplies,Building mat. and garden equip. and supplies dealers,September,29051.0,21261.0,42628.0
Home Goods & Building Supplies,Building mat. and supplies dealers,April,27274.85,20310.0,39589.0
Home Goods & Building Supplies,Building mat. and supplies dealers,August,26976.54,19349.0,39905.0
Home Goods & Building Supplies,Building mat. and supplies dealers,December,23732.69,17654.0,33417.0
Home Goods & Building Supplies,Building mat. and supplies dealers,February,19575.15,13750.0,29463.0
Home Goods & Building Supplies,Building mat. and supplies dealers,January,20105.85,13738.0,29770.0
Home Goods & Building Supplies,Building mat. and supplies dealers,July,27635.69,20304.0,38336.0
Home Goods & Building Supplies,Building mat. and supplies dealers,June,28883.62,21652.0,41870.0
Home Goods & Building Supplies,Building mat. and supplies dealers,March,25131.31,18974.0,38803.0
Home Goods & Building Supplies,Building mat. and supplies dealers,May,29976.54,21871.0,42979.0
Home Goods & Building Supplies,Building mat. and supplies dealers,November,25244.62,18714.0,35367.0
Home Goods & Building Supplies,Building mat. and supplies dealers,October,26535.54,18985.0,37452.0
Home Goods & Building Supplies,Building mat. and supplies dealers,September,25794.77,18915.0,37504.0
Home Goods & Building Supplies,Hardware stores,April,2357.31,1730.0,3479.0
Home Goods & Building Supplies,Hardware stores,August,2301.08,1502.0,3536.0
Home Goods & Building Supplies,Hardware stores,December,2298.0,1700.0,3590.0
Home Goods & Building Supplies,Hardware stores,February,1756.31,1227.0,2631.0
Home Goods & Building Supplies,Hardware stores,January,1842.92,1272.0,2728.0
