Unnamed: 0,month,year,naics_Code,kind_of_business,industry,sales,category,total_records
247,May,2022,Building Material & Garden Supply Stores,Building mat. and garden equip. and supplies dealers,Home Goods & Building Supplies,50099.0,Retail,624
248,May,2022,Building Material & Supplies Dealers,Building mat. and supplies dealers,Home Goods & Building Supplies,42979.0,Retail,624
249,May,2022,Paint & Wallpaper Stores,Paint and wallpaper stores,Home Goods & Building Supplies,1494.0,Retail,624
250,May,2022,Hardware Stores,Hardware stores,Home Goods & Building Supplies,3895.0,Retail,624
251,May,2022,Food & Beverage Stores,Food and beverage stores,Food & Beverage,79628.0,Food,780
252,May,2022,Grocery Stores,Grocery stores,Food & Beverage,71460.0,Food,780
253,May,2022,Supermarkets & Grocery Stores,Supermarkets and other grocery (except convenience) stores,Food & Beverage,68066.0,Food,780
254,May,2022,"Beer, Wine & Liquor Stores","Beer, wine, and liquor stores",Food & Beverage,5919.0,Food,780
255,May,2022,Health & Personal Care Stores,Health and personal care stores,Health & Personal Care,32952.0,Retail,312
256,May,2022,Pharmacies & Drug Stores,Pharmacies and drug stores,Health & Personal Care,27158.0,Retail,312
257,May,2022,Gasoline Stations,Gasoline stations,Fuel & Gasoline,72883.0,Retail,312
258,May,2022,Clothing & Clothing Accessories Stores,Clothing and clothing access. stores,Fashion & Accessories,26831.0,Retail,1248
259,May,2022,Clothing Stores,Clothing stores,Fashion & Accessories,18360.0,Retail,1248
260,May,2022,Men's Clothing Stores,Men's clothing stores,Fashion & Accessories,21850.77,Retail,1248
261,May,2022,Women's Clothing Stores,Women's clothing stores,Fashion & Accessories,3704.0,Retail,1248
262,May,2022,Family Clothing Stores,Family clothing stores,Fashion & Accessories,10174.0,Retail,1248
263,May,2022,Other Clothing Stores,Other clothing stores,Fashion & Accessories,1383.0,Retail,1248
264,May,2022,Shoe Stores,Shoe stores,Fashion & Accessories,3485.0,Retail,1248
265,May,2022,Jewelry Stores,Jewelry stores,Fashion & Accessories,21850.77,Retail,1248
266,May,2022,"Sporting Goods, Hobby, Book & Music Stores","Sporting goods, hobby, musical instrument, and book stores",Sports & Recreation,8851.0,Retail,624
267,May,2022,Sporting Goods Stores,Sporting goods stores,Sports & Recreation,5545.0,Retail,624
268,May,2022,"Hobby, Toy & Game Stores","Hobby, toy, and game stores",Sports & Recreation,1855.0,Retail,624
269,May,2022,Book Stores,Book stores,Sports & Recreation,664.0,Retail,624
270,May,2022,General Merchandise Stores,General merchandise stores,General Merchandise,68782.0,Retail,936
